feature,coefficient,absolute_coefficient
TK2 (7084),-6.6984374051619274e-06,6.6984374051619274e-06
UBALD1 (124402),-6.697777186764454e-06,6.697777186764454e-06
PDX1 (3651),6.697763993593592e-06,6.697763993593592e-06
ARHGEF6 (9459),-6.697679389746956e-06,6.697679389746956e-06
ZC3H6 (376940),6.696524133251366e-06,6.696524133251366e-06
MYO9A (4649),6.696411640900277e-06,6.696411640900277e-06
HAX1 (10456),6.696316400701637e-06,6.696316400701637e-06
OCSTAMP (128506),-6.695331593914906e-06,6.695331593914906e-06
PCBP3 (54039),-6.695088851866094e-06,6.695088851866094e-06
SLC6A13 (6540),6.694994547334421e-06,6.694994547334421e-06
RIMKLB (57494),-6.6948668407545785e-06,6.6948668407545785e-06
RPS20 (6224),-6.6946701729117965e-06,6.6946701729117965e-06
PEBP1 (5037),-6.6940598508314414e-06,6.6940598508314414e-06
C19orf47 (126526),6.693669827413662e-06,6.693669827413662e-06
PER3 (8863),-6.693532592149535e-06,6.693532592149535e-06
PIPOX (51268),6.693471784792449e-06,6.693471784792449e-06
DNAJC4 (3338),-6.693406069752868e-06,6.693406069752868e-06
GPAM (57678),-6.692799679611151e-06,6.692799679611151e-06
STAMBPL1 (57559),-6.691709375544615e-06,6.691709375544615e-06
RFX6 (222546),-6.69144915149049e-06,6.69144915149049e-06
TIMM13 (26517),6.687882566808841e-06,6.687882566808841e-06
CGB5 (93659),-6.687677480612187e-06,6.687677480612187e-06
MCL1 (4170),-6.68696541344444e-06,6.68696541344444e-06
NR1H4 (9971),6.685845915640988e-06,6.685845915640988e-06
ESR2 (2100),6.684887335225304e-06,6.684887335225304e-06
RNF141 (50862),6.684882404927712e-06,6.684882404927712e-06
SPANXA1 (30014),-6.684038056633026e-06,6.684038056633026e-06
FICD (11153),-6.683226610798958e-06,6.683226610798958e-06
HIP1 (3092),6.682108790144854e-06,6.682108790144854e-06
METTL14 (57721),6.681518366197783e-06,6.681518366197783e-06
B3GNT7 (93010),6.6806818986613155e-06,6.6806818986613155e-06
KCNJ3 (3760),6.680461307412388e-06,6.680461307412388e-06
FHAD1 (114827),-6.679602319135966e-06,6.679602319135966e-06
ACP2 (53),6.679043008346285e-06,6.679043008346285e-06
PCOLCE (5118),-6.676129171886929e-06,6.676129171886929e-06
MSL3B (151507),-6.675814580216952e-06,6.675814580216952e-06
RAVER2 (55225),6.674567533557439e-06,6.674567533557439e-06
ZC3HAV1 (56829),6.674188186664935e-06,6.674188186664935e-06
ZMYM4 (9202),-6.673780015856329e-06,6.673780015856329e-06
SPN (6693),6.672979110245922e-06,6.672979110245922e-06
ZNF333 (84449),-6.672069626827916e-06,6.672069626827916e-06
GUCA2A (2980),6.671338181087555e-06,6.671338181087555e-06
ADAM19 (8728),-6.671322285972421e-06,6.671322285972421e-06
ZNF221 (7638),6.671032198893927e-06,6.671032198893927e-06
SLFNL1 (200172),6.670761151045689e-06,6.670761151045689e-06
PDCL2 (132954),6.669898292590485e-06,6.669898292590485e-06
FOXL3 (116033993),6.6693746935370905e-06,6.6693746935370905e-06
ANKRD45 (339416),-6.665854468109161e-06,6.665854468109161e-06
AKAP8L (26993),6.664631396518369e-06,6.664631396518369e-06
MAGEF1 (64110),6.664504517171961e-06,6.664504517171961e-06
PATE2 (399967),-6.6639368129625775e-06,6.6639368129625775e-06
